,bm
2010-01-04,-0.005282773
2010-01-05,0.019468867
2010-01-06,-0.005206952
2010-01-07,-0.0034919390000000003
2010-01-08,0.007882537
2010-01-11,-0.008688238000000001
2010-01-12,-0.0043821929999999995
2010-01-13,0.009681764
2010-01-14,0.0017456829999999998
2010-01-15,0.0008688589999999999
2010-01-18,-0.012173139
2010-01-19,-0.011444348
2010-01-20,-0.016918249
2010-01-21,-0.022645299
2010-01-22,0.00370615
2010-01-25,-0.022160014
2010-01-26,0.002833444
2010-01-27,-0.002825438
2010-01-28,0.003776145
2010-01-29,-0.003761939
2010-02-01,-0.01605262
2010-02-02,0.01247676
2010-02-03,-0.028436476000000002
2010-02-04,-0.00877953
2010-02-05,0.004918553
2010-02-06,-0.003916691
2010-02-08,0.021632069
2010-02-09,0.02117403
2010-02-10,-0.008481647
2010-02-22,-0.0085542
2010-02-23,0.0019170329999999998
2010-02-24,-0.011482899
2010-02-25,-0.0029047559999999997
2010-02-26,0.024272245
2010-03-01,-0.000948955
2010-03-02,0.000949856
2010-03-03,0.001895229
2010-03-04,0.008513735
2010-03-05,0.007505352
2010-03-08,0.00279387
2010-03-09,0.0027860859999999997
2010-03-10,-0.00555669
2010-03-11,-0.003723404
2010-03-12,-0.013085905
2010-03-15,0.012311359
2010-03-16,0.014965925
2010-03-17,0.0036882670000000003
2010-03-18,-0.008263560999999999
2010-03-19,-0.00555669
2010-03-22,-0.003723404
2010-03-23,-0.002804311
2010-03-24,-0.001873915
2010-03-25,0.016899553
2010-03-26,0.00646312
2010-03-29,-0.0027502679999999997
2010-03-30,-0.0018420370000000001
2010-03-31,0.009216758
2010-04-01,0.002740292
2010-04-02,0.00819841
2010-04-06,0.000901824
2010-04-07,-0.007220852
2010-04-08,0.008183508
2010-04-09,-0.00450864
2010-04-12,-0.003624785
2010-04-13,0.006365808000000001
2010-04-14,0.0027080259999999997
2010-04-15,-0.015315078999999999
2010-04-16,-0.013723938
2010-04-19,0.004638302
2010-04-20,0.0009244219999999999
2010-04-21,0.004612623
2010-04-22,0.014691063999999998
2010-04-23,0.011765428999999999
2010-04-26,-0.020573311
2010-04-27,0.009132585
2010-04-28,0.002715493
2010-04-29,-0.01624628
2010-04-30,0.004587239
2010-05-03,-0.024657462999999998
2010-05-04,-0.008426059
2010-05-05,-0.03116254
2010-05-06,0.016571706999999998
2010-05-07,0.008628006
2010-05-10,-0.009505862
2010-05-11,0.010555171
2010-05-12,0.0075980169999999994
2010-05-13,-0.008481647
2010-05-14,-0.009505862
2010-05-17,-0.011515966
2010-05-18,-0.000971988
2010-05-19,-0.028182098
2010-05-20,-0.001999468
2010-05-21,0.002003474
2010-05-24,-0.00520088
2010-05-25,-0.008443377
2010-05-26,0.0158149
2010-05-27,-0.0019954779999999997
2010-05-28,0.0
2010-05-31,-0.009601407
2010-06-01,0.005656784000000001
2010-06-02,0.008029985
2010-06-03,-0.026892352
2010-06-04,-0.003068364
2010-06-07,-0.004108583
2010-06-08,-0.006597937
2010-06-09,0.031342175
2010-06-10,0.010261751
2010-06-11,0.002988665
2010-06-14,0.014895988999999998
2010-06-15,-0.000979597
2010-06-17,0.00881671
2010-06-18,0.007767667
2010-06-21,-0.01059856
2010-06-22,-0.0038938040000000003
2010-06-23,-0.007820815
2010-06-24,-0.000986353
2010-06-25,0.0059183809999999995
2010-06-28,-0.028430736
2010-06-29,0.0
2010-06-30,-0.009083593000000001
2010-07-01,0.012833029
2010-07-02,0.005428153000000001
2010-07-05,0.026999892999999997
2010-07-06,0.010712093
2010-07-07,0.0
2010-07-08,0.009634064
2010-07-09,0.0
2010-07-12,0.009539436
2010-07-13,0.0009462660000000001
2010-07-14,0.003776145
2010-07-15,-0.016931386
2010-07-16,0.009569533
2010-07-19,0.008529871
2010-07-20,-0.005640256999999999
2010-07-21,0.003782391
2010-07-22,0.011299088999999998
2010-07-23,0.003723404
2010-07-26,-0.005564388000000001
2010-07-27,0.00652943
2010-07-28,-0.000927848
2010-07-29,0.008350517
2010-07-30,0.012878651999999999
2010-08-02,-0.0009093080000000001
2010-08-03,0.004545536
2010-08-04,-0.006334443
2010-08-05,0.003644596
2010-08-06,0.007257591
2010-08-09,-0.00900917
2010-08-10,-0.016361874
2010-08-11,0.0036958720000000002
2010-08-12,0.0027629990000000004
2010-08-13,0.007346831
2010-08-16,0.002732712
2010-08-17,-0.006363237
2010-08-18,0.0036612690000000004
2010-08-19,0.0
2010-08-20,0.002732712
2010-08-23,-0.012726473
2010-08-24,-0.00736713
2010-08-25,-0.005564388000000001
2010-08-26,0.01305886
2010-08-27,-0.011049393000000001
2010-08-30,-0.003723404
2010-08-31,0.011214603
2010-09-01,0.0018479360000000001
2010-09-02,0.013837869
2010-09-03,0.0
2010-09-06,-0.0036412759999999997
2010-09-07,0.0036545840000000002
2010-09-08,0.003638703
2010-09-09,0.007253585999999999
2010-09-10,0.022502627999999997
2010-09-13,0.0035201890000000004
2010-09-14,0.003510321
2010-09-15,-0.0061209559999999994
2010-09-16,0.006158652
2010-09-17,0.00699114
2010-09-20,-0.004340354
2010-09-21,-0.004359275
2010-09-23,0.0070058740000000005
2010-09-24,-0.006086569
2010-09-27,0.007873159
2010-09-28,0.0017356510000000002
2010-09-29,0.0034677379999999997
2010-09-30,-0.0008645489999999999
2010-10-01,-0.006049746999999999
2010-10-04,0.006957133000000001
2010-10-05,-0.0008645489999999999
2010-10-06,0.0
2010-10-07,-0.004321597
2010-10-08,-0.01041636
2010-10-11,-0.011404203
2010-10-12,0.009761605999999999
2010-10-13,0.010544497
2010-10-14,-0.003477337
2010-10-15,-0.019197027
2010-10-18,-0.007118055999999999
2010-10-19,0.017921447
2010-10-20,-0.000881292
2010-10-21,0.017162976
2010-10-22,0.014416352
2010-10-25,0.003552265
2010-10-26,-0.007964905999999999
2010-10-27,0.0026754770000000003
2010-10-28,0.0
2010-10-29,0.010675769
2010-11-01,0.002642545
2010-11-02,-0.0026355809999999997
2010-11-03,0.013205546
2010-11-04,0.004344478
2010-11-05,-0.004325685
2010-11-08,0.004344478
2010-11-09,0.0
2010-11-10,-0.009516977
2010-11-11,-0.016592692
2010-11-12,-0.003552265
2010-11-15,0.0044543429999999995
2010-11-16,0.000887883
2010-11-17,0.008866133
2010-11-18,-0.001758599
2010-11-19,0.009684546
2010-11-22,-0.011334084
2010-11-23,0.002644805
2010-11-24,0.0052780480000000005
2010-11-25,-0.000875453
2010-11-26,-0.00087622
