,bm
2010-01-04,0.0008842510000000001
2010-01-05,0.0
2010-01-06,0.018585397
2010-01-07,-0.002606963
2010-01-08,0.00609717
2010-01-11,0.0025979370000000002
2010-01-12,-0.00518241
2010-01-13,-0.014756713999999999
2010-01-14,0.012336511999999999
2010-01-15,0.006091858
2010-01-18,-0.005191374
2010-01-19,-0.013043703
2010-01-20,-0.00616701
2010-01-21,-0.007977857
2010-01-22,-0.027704766000000002
2010-01-25,-0.003675496
2010-01-26,-0.023063116
2010-01-27,-0.0009453710000000001
2010-01-28,0.02174006
2010-01-29,-0.019425223000000002
2010-02-01,-0.011320402
2010-02-02,-0.010497427
2010-02-03,0.017358602
2010-02-04,-0.003793139
2010-02-05,-0.034252086
2010-02-06,0.008866029000000001
2010-02-08,-0.006835506
2010-02-09,0.013765103
2010-02-10,0.010670543999999999
2010-02-22,0.00959709
2010-02-23,0.0
2010-02-24,-0.006653566
2010-02-25,-0.011482899
2010-02-26,-0.001938329
2010-03-01,0.024248742
2010-03-02,-0.002841495
2010-03-03,0.0
2010-03-04,-0.00854609
2010-03-05,0.014368065
2010-03-08,0.013219177
2010-03-09,0.002796477
2010-03-10,0.0
2010-03-11,-0.0027886779999999997
2010-03-12,-0.000930402
2010-03-15,-0.013992766
2010-03-16,0.0047304470000000005
2010-03-17,0.01977274
2010-03-18,0.004616887
2010-03-19,-0.0027579220000000003
2010-03-22,-0.01013687
2010-03-23,-0.006517274
2010-03-24,0.0028121979999999997
2010-03-25,0.0
2010-03-26,0.009345943
2010-03-29,0.009256786
2010-03-30,-0.0009158910000000001
2010-03-31,-0.0036747140000000004
2010-04-01,0.009216758
2010-04-02,0.0
2010-04-06,0.010046877
2010-04-07,0.001807837
2010-04-08,-0.006317289
2010-04-09,0.002725356
2010-04-12,0.00452906
2010-04-13,-0.011722973999999999
2010-04-14,0.00729991
2010-04-15,0.0063401709999999995
2010-04-16,-0.006300226999999999
2010-04-19,-0.028081195
2010-04-20,0.003729514
2010-04-21,0.012998233
2010-04-22,-0.0018326929999999998
2010-04-23,0.005508175
2010-04-26,0.021005463
2010-04-27,-0.000895482
2010-04-28,-0.010742751000000002
2010-04-29,-0.004524968
2010-04-30,-0.003635401
2010-05-03,-0.006386454000000001
2010-05-04,0.0009167310000000001
2010-05-05,-0.027520841
2010-05-06,-0.019812705
2010-05-07,0.0
2010-05-10,0.008663959
2010-05-11,-0.0038184729999999997
2010-05-12,-0.0019152000000000001
2010-05-13,0.022073851000000002
2010-05-14,-0.002817477
2010-05-17,-0.022598177999999997
2010-05-18,0.0019262679999999999
2010-05-19,-0.010578183
2010-05-20,-0.012631648
2010-05-21,-0.020670727
2010-05-24,0.014069455
2010-05-25,-0.026361078
2010-05-26,0.004070575999999999
2010-05-27,0.006895365
2010-05-28,0.00422848
2010-05-31,0.004610477
2010-06-01,-0.0053880740000000005
2010-06-02,-0.015653023000000002
2010-06-03,0.023443536
2010-06-04,-0.0029858479999999997
2010-06-07,-0.026176161
2010-06-08,-0.0036932490000000004
2010-06-09,-0.007824466
2010-06-10,0.013905724
2010-06-11,0.015764442
2010-06-14,0.01471045
2010-06-15,0.0069509
2010-06-17,0.006902918
2010-06-18,-0.0029361340000000004
2010-06-21,0.021610795
2010-06-22,-0.005770413
2010-06-23,-0.010636843
2010-06-24,0.002930387
2010-06-25,-0.01364437
2010-06-28,0.0039543140000000004
2010-06-29,-0.005906717
2010-06-30,-0.018811077
2010-07-01,-0.007265733000000001
2010-07-02,0.006097175
2010-07-05,0.020409329
2010-07-06,0.017822642
2010-07-07,-0.001947757
2010-07-08,0.014620148999999999
2010-07-09,0.0057648790000000005
2010-07-12,-0.000956206
2010-07-13,-0.002865957
2010-07-14,0.019173045
2010-07-15,0.00188363
2010-07-16,-0.006574999000000001
2010-07-19,-0.002833452
2010-07-20,0.008529871
2010-07-21,-0.005640256999999999
2010-07-22,0.0009462660000000001
2010-07-23,0.014164548
2010-07-26,0.00279387
2010-07-27,-0.004642601
2010-07-28,0.008394604
2010-07-29,0.000926132
2010-07-30,-0.003698486
2010-08-02,0.019481916000000002
2010-08-03,0.004549665
2010-08-04,-0.0018111120000000001
2010-08-05,-0.000908482
2010-08-06,0.002725356
2010-08-09,0.005433335
2010-08-10,-0.001801324
2010-08-11,-0.012634577
2010-08-12,-0.008228378
2010-08-13,0.011062195
2010-08-16,0.002732712
2010-08-17,-0.000907565
2010-08-18,-0.005460628
2010-08-19,0.00549061
2010-08-20,0.0
2010-08-23,0.006369016999999999
2010-08-24,-0.006328709
2010-08-25,-0.018198662
2010-08-26,-0.006487073
2010-08-27,0.004664255
2010-08-30,0.004642601
2010-08-31,-0.014788716
2010-09-01,0.007505352
2010-09-02,0.00558774
2010-09-03,0.010183774
2010-09-06,0.007333366
2010-09-07,-0.0018193520000000002
2010-09-08,-0.001825246
2010-09-09,0.0
2010-09-10,0.009132585
2010-09-13,0.028055825
2010-09-14,0.0035201890000000004
2010-09-15,0.004386040999999999
2010-09-16,-0.010480037
2010-09-17,0.011474657
2010-09-20,-0.000873602
2010-09-21,0.001746261
2010-09-23,0.0
2010-09-24,-0.006102491999999999
2010-09-27,0.008772081999999999
2010-09-28,-0.001738669
2010-09-29,0.006969251
2010-09-30,-0.001732089
2010-10-01,0.000867547
2010-10-04,0.0
2010-10-05,-0.00606022
2010-10-06,0.00609717
2010-10-07,0.003462283
2010-10-08,-0.00603931
2010-10-11,-0.011282958000000001
